鄉鎮市長一覽表,,,,,,,,,,,,,,
選舉年,市縣別,鄉鎮市,機關別,姓     名,職稱,性別,黨籍,辦公地址,辦公電話,電子信箱,學   歷,簡    歷,布落格,連結網頁
099第十六屆各鄉鎮市長選舉,彰化縣,大村鄉,彰化縣大村鄉公所,張　良烟,鄉長,男,無政黨,(515)彰化縣大村鄉大村村中正西路338號,04-8528328,ntws120@ems.tatsun.gov.tw,員林鎮育英國民小學 省立員林中學初級部畢業 嘉南工商高職畢業,第彰化縣議員13.14.15.16屆縣議員 91年彰化農田水利會第1屆直選會務委員 彰化縣農田水利會第2屆直選會務委員,,
099第十六屆各鄉鎮市長選舉,彰化縣,埔鹽鄉,彰化縣埔鹽鄉公所,楊　福地,鄉長,男,中國國民黨,(516)彰化縣埔鹽鄉好修村中正路192號,04-8652301,py01@ems.puyan.gov.tw,中洲技術學院碩士畢業,彰化縣議會第16屆副議長 彰化縣議會第14、15屆議員 埔鹽鄉民代表會副主席 彰化農田水利會代表 彰化縣觀護協會理事長 埔鹽愛心慈善會理事長,,http://www.puyan.gov.tw
099第十六屆各鄉鎮市長選舉,彰化縣,埔心鄉,彰化縣埔心鄉公所,徐　平圳,鄉長,男,無政黨,(513)彰化縣埔心鄉義民村員鹿路2段344號,04-8296249,psaol@pusin.gov.tw,埔心國中畢業,一、彰化縣埔心鄉民代表會第十三屆主席。 二、彰化縣議會第十三屆縣議員。 三、彰化縣議會第十四屆縣議員。 四、彰化縣埔心鄉第十五、六屆鄉長。,,http://www.pusin.gov.tw/
099第十六屆各鄉鎮市長選舉,彰化縣,永靖鄉,彰化縣永靖鄉公所,李詩焱,鄉長,男,中國國民黨,(512)彰化縣永靖鄉永西村瑚璉路230號,04-8221191, ,中州技術學院畢業,彰化縣第13、14、15、16屆縣議員,,
099第十六屆各鄉鎮市長選舉,彰化縣,社頭鄉,彰化縣社頭鄉公所,蕭　如意,鄉長,男,中國國民黨,(511)彰化縣社頭鄉仁雅村社斗路1段295號,(04)8732621,san5432.chen@msa.hinet.net,永靖高工,第16屆社頭鄉代表會代表、第17屆社頭鄉代表會主席,,
099第十六屆各鄉鎮市長選舉,彰化縣,二水鄉,彰化縣二水鄉公所,陳奇煒,鄉長,男,,(530)彰化縣二水鄉裕民村南通路2段764號,04-8790100, ,高中,,,
099第十六屆各鄉鎮市長選舉,彰化縣,北斗鎮,彰化縣北斗鎮公所,楊　麗香,鎮長,女,中國國民黨,(521)彰化縣北斗鎮西德里公所街2號,04-8884166,peitou@ms1.peitou.gov.tw,螺陽國小 北斗國中 銘傳商專畢業,北斗鎮婦女會會員。 彰化縣民防總隊北斗分隊顧問。 大道社區志工。 財團法人彰化縣私立博愛服務中心顧問。,,http://www.peitou.gov.tw/
099第十六屆各鄉鎮市長選舉,彰化縣,二林鎮,彰化縣二林鎮公所,張　國棟,鎮長,男,中國國民黨,(526)彰化縣二林鎮豐田里斗苑路4段636號,04-8969901,a001@mail.erhlin.gov.tw,曉陽商工畢業,二林鎮農會第13屆理事長 彰化縣議會第15.16屆縣議員 中華民國十大傑出農村青年 二林國際獅子會會長 二林高中校友會顧問 二林義消大隊顧問 二林民眾服務社理事長 二林後備軍人輔導中心督導員 二林老人會顧問,,http://www.erhlin.gov.tw/
099第十六屆各鄉鎮市長選舉,彰化縣,田尾鄉,彰化縣田尾鄉公所,莊　仁舜,鄉長,男,中國國民黨,(522)彰化縣田尾鄉公所路201號,(04)8832171,063@ems.tienwei.gov.tw,,,,
099第十六屆各鄉鎮市長選舉,彰化縣,埤頭鄉,彰化縣埤頭鄉公所,吳　錦潭,鄉長,男,無政黨,(523)彰化縣埤頭鄉合興村斗苑西路138號,04-8922117,ntws99@ems.pitou.gov.tw,埤頭國中,1、。埤頭國際同濟會2001~2002會長。2、巡守隊顧問。3、鄉體育會理事長 4、 鄉調解委員會委員 。5、 埤頭警友站顧問團長 6、鄉民代表會第十五屆代表。7、 鄉民代表第十六、十七屆主席。,無,www.pitou.gov.tw
099第十六屆各鄉鎮市長選舉,彰化縣,芳苑鄉,彰化縣芳苑鄉公所,林　清彬,鄉長,男,中國國民黨,(528)彰化縣芳苑鄉芳苑村斗苑路芳苑段202號,04-8983102,ntws01@ems.fangyuan.gov.tw,高職畢業,第15屆鄉長 連任第16屆鄉長,,http://www.fangyuan.gov.tw
099第十六屆各鄉鎮市長選舉,彰化縣,大城鄉,彰化縣大城鄉公所,吳　明玉(男),鄉長,男,無政黨,(527)彰化縣大城鄉東城村中平路185號,(04)8942980,ntws66@ems.tachemg.gov.tw,教育部辦理專科學校鑑定合格,大城鄉鄉民代表,,
099第十六屆各鄉鎮市長選舉,彰化縣,竹塘鄉,彰化縣竹塘鄉公所,蔡　永稽,鄉長,男,無政黨,(525)彰化縣竹塘鄉竹塘村竹林路1段305號,(04)8972011,ntws41@ems.chatang.gov.tw,大城高職,第12.13屆竹塘鄉民代表主席 第14屆鄉民代表 第15屆鄉長,,210.241.89.100/
099第十六屆各鄉鎮市長選舉,彰化縣,溪州鄉,彰化縣溪州鄉公所,黃　盛祿,鄉長,男,民主進步黨,(524)彰化縣溪州鄉尾厝村溪下路4段560號,(04)8896100,babybetty2139@gmail.com,中央警官學校畢業,1.田中分局田中派出所主管 2.田中分局社頭分駐所所長 3.彰化分局中華路派出所主管 4.彰化警察局刑警大隊組長 5.員林分局偵查隊隊長 6.北斗分局偵查隊隊長,http://www.hsichou.gov.tw/newweb/index.asp,hsichou@xuite.net
099第十六屆各鄉鎮市長選舉,南投縣,南投市,南投縣南投市公所,許　淑華(女),市長,女,中國國民黨,(540)南投縣南投市龍泉里玉井街5號,(049)2222110, ,,,,http://www.ntc.gov.tw/
099第十六屆各鄉鎮市長選舉,南投縣,埔里鎮,南投縣埔里鎮公所,周　義雄,鎮長,男,中國國民黨,(545)南投縣埔里鎮北門里中山路二段239號,(049)2984040, ,,,,
099第十六屆各鄉鎮市長選舉,南投縣,草屯鎮,南投縣草屯鎮公所,洪　國浩,鎮長,男,民主進步黨,(542)南投縣草屯鎮中山里草鞋墩一街8號,049-2338161,a241147@mail.tsaotun,專科畢業,1.台灣省政府建設廳技士 2.台灣省都市計畫委員會技佐 3.草屯鎮公所秘書.主任秘書 4.台灣省南投農田水利會會長二屆 5.台灣省諮議會諮議員,,
099第十六屆各鄉鎮市長選舉,南投縣,竹山鎮,南投縣竹山鎮公所,朱　寶珍,鎮長,男,中國國民黨,(557)南投縣竹山鎮雲林里公所路100號,049-2642175, ,中州技術學院肄業,竹山鎮兵役協會主任委員 竹山鎮體育會理事長 竹山鎮民代表會主席 竹山鎮鎮長,,
099第十六屆各鄉鎮市長選舉,南投縣,集集鎮,南投縣集集鎮公所,嚴　鴻邦,鎮長,男,中國民主黨,(552)南投縣集集鎮玉映里民生路61號,049-2762034,2763333@CHI-CHI.GOV.TW,立人高中,集集鎮永昌里第14-19屆里長,,
099第十六屆各鄉鎮市長選舉,南投縣,名間鄉,南投縣名間鄉公所,陳　聰鑑,鄉長,男,無政黨,(551)南投縣名間鄉中正村中正村彰南路40號,(049)2732116, ,高職,,,
099第十六屆各鄉鎮市長選舉,南投縣,鹿谷鄉,南投縣鹿谷鄉公所,黃　東灝,鄉長,男,中國國民黨,(558)南投縣鹿谷鄉彰雅村鹿谷村中正路二段73號,(049)2755728, ,中學,鹿谷鄉民代表會代表 鹿谷鄉民代表會主席,,
099第十六屆各鄉鎮市長選舉,南投縣,中寮鄉,南投縣中寮鄉公所,張 永輝,鄉長,男,無政黨,(541)南投縣中寮鄉永平村永平路270號,049-2692301,yeong-huei@ms1.joliu.gov.tw,國立彰化高工畢業,一、中寮鄉民代表會主席 二、中寮鄉調解委員會主席 三、中寮鄉義消顧問團團長 四、南投縣第16屆縣議員,,http://village.nantou.gov.tw/chungliao/
099第十六屆各鄉鎮市長選舉,南投縣,魚池鄉,南投縣魚池鄉公所,陳　錦倫,鄉長,男,民主進步黨,(555)南投縣魚池鄉魚池村秀水巷33號,(049)2895371, ,亞洲大學休閒遊憩管理碩士,南投縣第14.15.16屆縣議員,,
099第十六屆各鄉鎮市長選舉,南投縣,國姓鄉,南投縣國姓鄉公所,林　福峯,鄉長,男,中國國民黨,(544)南投縣國姓鄉石門村國姓路267號,049-2721002, ,埔里高農,現任： 南投縣客家協會理事長 南投縣民眾服務社理事長 國姓義勇消防隊顧問團副團長 國姓婦宣隊顧問 經歷： 第15屆國姓鄉長 南投縣議員 第16屆國姓鄉民代表會副主席 第14、15屆國姓鄉民代表 南投縣養鹿協會理事長 南投縣客家協會常務監事 南投縣後備司令部國姓鄉主任 北山國中家長會長 南港國小家長會副會長,,
099第十六屆各鄉鎮市長選舉,南投縣,水里鄉,南投縣水里鄉公所,江　龍漢,鄉長,男,無政黨,(553)南投縣水里鄉鉅工村民生路112號,(049)2772141,mator1@ms1.shli.gov.tw,私立慈明商工畢,水里鄉民和村第15、16屆村長 水里國際獅子會2006-2007年會長 水里鄉民代表會第16屆副主席 水里鄉民代表會第17屆代表 水里國際扶輪社社友 水里義消顧問 水里國際獅子會會員 永豐村守望相助隊顧問,,http://www.shli.gov.tw
099第十六屆各鄉鎮市長選舉,南投縣,信義鄉,南投縣信義鄉公所,史　強,鄉長,男,中國國民黨,(556)南投縣信義鄉明德村玉山路47號,049-2791515,chang188@mail.shini.gov.tw,國立中興大學農學院 土壤環境科學系研究所畢業,南投縣政府原住民行局代理局長 南投縣政府秘書、建設課長 行政院原住民族委員會企劃處副處長,,http://www.shini.gov.tw
099第十六屆各鄉鎮市長選舉,南投縣,仁愛鄉,南投縣仁愛鄉公所,張　子孝,鄉長,男,中國國民黨,(546)南投縣仁愛鄉大同村仁和路29號,049-2802534, ,陸軍軍官學校,,,
098第九屆各鄉鎮市長選舉,雲林縣,斗六市,雲林縣斗六市公所,謝　淑亞,市長,女,中國國民黨,(640)雲林縣斗六市鎮西里府文路38號,05-5336581,shu.yaol@msa.hinet.net,東吳大學英文系畢 美國威斯康辛大學教育碩士畢,雲林縣議會議員 雲林縣農會總幹事,,
099第十六屆各鄉鎮市長選舉,雲林縣,斗南鎮,雲林縣斗南鎮公所,張　勝雄,鎮長,男,民主進步黨,(630)雲林縣斗南鎮西岐里文昌路200號,05-5973217,dounan@mail.dounan.gov.tw,嘉南高職畢業,1斗南鎮民代表會第10.11.12屆代表 2斗南鎮民代表會第13屆主席 3斗南鎮第11屆鎮長 4現任斗南鎮第19屆鎮長,,http://www.dounan.gov.tw
099第十六屆各鄉鎮市長選舉,雲林縣,虎尾鎮,雲林縣虎尾鎮公所,林　文彬,鎮長,男,民主進步黨,(632)雲林縣虎尾鎮行政路6號,(05)6332865,huwei1819@yahoo.com.tw,國立政治大學公共行政系碩士班畢,國立政治大學公共行政系碩士班畢,,http://www.huwei.gov.tw
099第十六屆各鄉鎮市長選舉,雲林縣,西螺鎮,雲林縣西螺鎮公所,蕭　澤梧,鎮長,男,中國民主進步黨,(648)雲林縣西螺鎮漢光里7鄰漢光1號,05-5863203,secret01@mail.hsilo.gov.tw,世界新聞專科學校畢業,1.友森建設（股）公司總經理 2.西螺扶輪社社長 3.螺陽文教基金會創會董事。 4.曾任：８８年至９４年西螺鎮調解委員會主 席 5.西螺慈惠堂主任委員 6.螺陽文教基金會監事國際扶輪社３４７０地區助理總監,,西螺鎮公所
099第十六屆各鄉鎮市長選舉,雲林縣,土庫鎮,雲林縣土庫鎮公所,張　源鐘,鎮長,男,中國國民黨,(633)雲林縣土庫鎮石廟里10鄰中興路175號,05-6623211, ,虎尾高中畢業,第17屆土庫鎮民代表 第15屆土庫鎮鎮長,,http://www.tuku.gov.tw
099第十六屆各鄉鎮市長選舉,雲林縣,北港鎮,雲林縣北港鎮公所,蕭　永義,鎮長,男,,(651)雲林縣北港鎮新街里北辰路1號,05- 7822009,yng501@ms1.gsn.gov.tw,南陽國小 北港國中 北港農工,北港鎮南安里15.16.17.18屆里長,,http://www.beigang.gov.tw/
099第十六屆各鄉鎮市長選舉,雲林縣,古坑鄉,雲林縣古坑鄉公所,林　慧如(女),鄉長,女,民主進步黨,(646)雲林縣古坑鄉古坑村中山路40號,(05)5821001*200,gukeng206@mail.gukeng.gov.tw,國立政治大學國貿系畢業,第12、13、14、15屆雲林縣縣議員 第15屆古坑鄉鄉長,,http://www.gukeng.gov.tw
099第十六屆各鄉鎮市長選舉,雲林縣,大埤鄉,雲林縣大埤鄉公所,謝　明平,鄉長,男,民主進步黨,(631)雲林縣大埤鄉北和村北和村中山路8號,(05)5912116*202,a010@msmail.tapi.gov.tw,土庫高商,雲林縣體育會常務理事 大埤鄉農會代表 大埤鄉後備軍人輔導中心主任 雲林縣後備指揮部發展委員 2009年劉建國立委補選大埤總部總幹事 縣長 蘇治芬秘書,http：//www.tapi.gov.tw,http：//www.tapi.gov.tw
099第十六屆各鄉鎮市長選舉,雲林縣,莿桐鄉,雲林縣莿桐鄉公所,鍾　明馨,鄉長,男,無政黨,(647)雲林縣莿桐鄉莿桐村和平路53號,(05)5844661*221,ws91@mail.cihtong.gov.tw,莿桐國中畢,雲林縣莿桐鄉民代表會第16屆副主席 雲林縣莿桐鄉民代表會第17屆主席 雲林縣莿桐鄉第15屆鄉長,,http://www.cihtong.gov.tw/
099第十六屆各鄉鎮市長選舉,雲林縣,林內鄉,雲林縣林內鄉公所,邱　世文,鄉長,男,全民廉政無黨聯盟,(643)雲林縣林內鄉林中村中正路340號,(05)5892001#201,steven1@mse.lina.gov.tw,佛光大學,林內鄉讀書會創辦人 雲林監獄戒治講師 雲林縣家庭教育中心制供總幹事,,http://www.linnei.gov.tw/content/index.asp?m=1&m1=8&m2=75
099第十六屆各鄉鎮市長選舉,雲林縣,二崙鄉,雲林縣二崙鄉公所,廖　朝魁,鄉長,男,中國國民黨,(649)雲林縣二崙鄉崙西村中興路5號,05-5982001,wsi171@ems.ehlg.gov.tw,義賢國民小學 二崙國民中學 西螺農工畢 警察學校第97期畢 警察行政丙等特考及格,公路警察局大隊隊員 雲林縣柔道協會顧問 二崙鄉獅子會會長 二崙鄉青年工作會會長 雲林縣第13、14、15屆縣議員 第15屆二崙鄉鄉長,,
099第十六屆各鄉鎮市長選舉,雲林縣,崙背鄉,雲林縣崙背鄉公所,李　永茂,鄉長,男,無政黨,(637)雲林縣崙背鄉東明村行政街1號,05-6961399,sec08@lunbei.gov.tw,大成商工職校初級部畢業,崙背郵局郵務士36年 第18屆南陽村村長,,http://10.10.10.1/index.asp
099第十六屆各鄉鎮市長選舉,雲林縣,麥寮鄉,雲林縣麥寮鄉公所,林　松利,鄉長,男,無政黨,(638)雲林縣麥寮鄉麥津村中興路117號,05-6932264,mla06@ems.mlvillage.gov.tw,麥寮國小畢,第15屆麥寮鄉鄉長,,http://www.mlvillage.gov.tw
099第十六屆各鄉鎮市長選舉,雲林縣,東勢鄉,雲林縣東勢鄉公所,陳　志揚,鄉長,男,無政黨,(635)雲林縣東勢鄉東南村所前街3號,05-6996678,chen6991571@yahoo.com.tw,專科畢,東勢鄉公所秘書,,http://www.dongshih.gov.tw/
099第十六屆各鄉鎮市長選舉,雲林縣,褒忠鄉,雲林縣褒忠鄉公所,張　政國,鄉長,男,全民廉政無黨聯盟,(634)雲林縣褒忠鄉中正路451號,(05)6972005,secrecary0123@yahoo.com.tw,吳鳳技術學院國際企業管理學系學士學位,褒忠鄉第14、15屆秘書,,
099第十六屆各鄉鎮市長選舉,雲林縣,台西鄉,雲林縣台西鄉公所,李　培元,鄉長,男,無政黨,(636)雲林縣台西鄉台西村中山路293號,05-6982004,6982004@mail.taihsi.gov.tw,嘉南商工,台西鄉民代表會第17屆代表主席,,
099第十六屆各鄉鎮市長選舉,雲林縣,元長鄉,雲林縣元長鄉公所,李　泗濱,鄉長,男,全民廉政無黨聯盟,(655)雲林縣元長鄉長南村仁愛街2號,05-7882222,a101@yuanchang.gov.tw,空中行專畢業,元長鄉村幹事 兵役、建設課長 主任秘書,,
099第十六屆各鄉鎮市長選舉,雲林縣,四湖鄉,雲林縣四湖鄉公所,王　呈,鄉長,男,中國國民黨,(654)雲林縣四湖鄉湖西村中山西路44號,05-7872215,lon70169@yahoo.com.tw,飛沙國小、北港初中、省立土庫高商畢業,四湖鄉農會第十三、十四屆理事長 四湖鄉民代表會第十二、十三、十四、十五、十六、十七屆鄉民代表,,http://www.zuhu.gov.tw/home.asp
099第十六屆各鄉鎮市長選舉,雲林縣,口湖鄉,雲林縣口湖鄉公所,蔡　永常,鄉長,男,全民廉政無黨聯盟,(653)雲林縣口湖鄉湖東村中正路118號,(05)7892001,a3@kouhu.gov.tw,北港農工肄業,雲林區漁會理事長 國大代表 雲林縣議員 北港朝天宮董事長 北港朝天宮董事,無,
099第十六屆各鄉鎮市長選舉,雲林縣,水林鄉,雲林縣水林鄉公所,陳　怡帆(女),鄉長,女,民主進步黨,(652)雲林縣水林鄉水北村水林路12號,05-7850001,cricann@shuilin.gov.tw,大葉大學畢業,水林鄉第15屆代理鄉長,,http://www.shuilin.gov.tw/
099第十六屆各鄉鎮市長選舉,嘉義縣,太保市,嘉義縣太保市公所,董　國誠,市長,男,民主進步黨,(612)嘉義縣太保市太保里太保里66號,(05)3711106,0937917917@mail.cyhg.gov.tw,稻江管理學院國際企業管理學系畢業,嘉義縣第15屆議員.太保市第5屆市長,,
099第十六屆各鄉鎮市長選舉,嘉義縣,朴子市,嘉義縣朴子市公所,王　如經,市長,男,無政黨,(613)嘉義縣朴子市平和里光復路34號,(05)3793460,wang3700151@yahoo.com.tw,稻江科技暨管理學院畢業,縣議員,,http://puzih.cyhg.gov.tw
099第十六屆各鄉鎮市長選舉,嘉義縣,布袋鎮,嘉義縣布袋鎮公所,蔡　坤彬,鎮長,男,民主進步黨,(625)嘉義縣布袋鎮興中里15鄰自由路2號,05-3471585,cyhgc300@mail.cyhg.gov.tw,私立大同高商畢業,1.國安西藥房負責人 2.國安沖印負責人 3.嘉義市第12屆攝影協會監事,無,無
099第十六屆各鄉鎮市長選舉,嘉義縣,大林鎮,嘉義縣大林鎮公所,黃　貞瑜(女),鎮長,女,民主進步黨,(622)嘉義縣大林鎮三和里中興路2段239號,05-2652135,cyhgc401@mail.cyhg.gov.tw,國立政治大學政治研究所碩士,大林鎮代理鎮長,,http://www.dalin.gov.tw/cht/in
099第十六屆各鄉鎮市長選舉,嘉義縣,民雄鄉,嘉義縣民雄鄉公所,陳　福成,鄉長,男,無政黨,(621)嘉義縣民雄鄉中樂村文化路7號,05-2262101,cyhgc500@mail.cyhg.gov.tw,,,,
099第十六屆各鄉鎮市長選舉,嘉義縣,溪口鄉,嘉義縣溪口鄉公所,劉　純婷,鄉長,女,民主進步黨,(623)嘉義縣溪口鄉溪北村中山路89號,05-2691559,flower270@yahoo.com.tw,國立高雄大學財經法律系畢業,溪口衛生所群體醫療基金會計,,sikou.cyhg.gov.tw
099第十六屆各鄉鎮市長選舉,嘉義縣,新港鄉,嘉義縣新港鄉公所,邱　晋煌,鄉長,男,無政黨,(616)嘉義縣新港鄉宮前村中山路155號,(05)3742104-6,cyhgc700@mail.cyhg.gov.tw,大專畢業,新港鄉農會理事長 財團法人新港文教基金會董事長,無,singang.gov.tw
099第十六屆各鄉鎮市長選舉,嘉義縣,六腳鄉,嘉義縣六腳鄉公所,黃　錦成,鄉長,男,民主進步黨,(615)嘉義縣六腳鄉蒜頭村73號,(05)3801121,cyhgc800@mail.cyhg.gov.tw,北港農工畢 凱達格蘭學校地方發展班結業 稻江科技管理學院進修班,"六腳鄉第15屆鄉長,六腳鄉民代表會第15屆副主席、第16屆主席",無,http://lioujiao.cyhg.gov.tw/
099第十六屆各鄉鎮市長選舉,嘉義縣,東石鄉,嘉義縣東石鄉公所,林　純金,鄉長,男,中國國民黨,(614)嘉義縣東石鄉東石村3號,05-3732201,cyhgc907@mail.cyhg.gov.tw,大學畢業,1、第15.16屆東石鄉鄉長 2、現任本鄉龍港村慶福宮主任委員 3、嘉義縣農會第14.15屆理事長 4、嘉義縣農會第13屆常務監事,無,http://dongshih.cyhg.gov.tw/home.asp
099第十六屆各鄉鎮市長選舉,嘉義縣,義竹鄉,嘉義縣義竹鄉公所,黃　金茂,鄉長,男,中國國民黨,(624)嘉義縣義竹鄉新店村仁里村389號,(05)3411312,cyhgca00@mail.cyhg.gov.tw,高中畢,義竹鄉鄉民代表副主席 義竹鄉鄉長,無,無
099第十六屆各鄉鎮市長選舉,嘉義縣,鹿草鄉,嘉義縣鹿草鄉公所,林　沐惠,鄉長,男,民主進步黨,(611)嘉義縣鹿草鄉西井村西井村287號,(05)3752711,LINGMUH@mail.cyhg.gov.tw,大學畢,鄉長,,http//www.lutsau.gov.tw
099第十六屆各鄉鎮市長選舉,嘉義縣,水上鄉,嘉義縣水上鄉公所,王　啟澧,鄉長,男,中國國民黨,(608)嘉義縣水上鄉水上村正義路141號,05-2682406, ,大學,1.興華中學教師 2.水上鄉公所秘書 3.嘉義縣政府計劃室主任 4.嘉義縣巡守隊協會理事長 5.國民黨嘉義縣黨部義務副主任委員 6.水上鄉第15屆鄉長,,
099第十六屆各鄉鎮市長選舉,嘉義縣,中埔鄉,嘉義縣中埔鄉公所,許彰敏,鄉長,男,,(606)嘉義縣中埔鄉中埔村中埔村128號,05-2533321,cyhg2836@mail.cyhg.gov.tw,嘉義大學碩士,,,
099第十六屆各鄉鎮市長選舉,嘉義縣,竹崎鄉,嘉義縣竹崎鄉公所,溫　良恭,鄉長,男,無政黨,(604)嘉義縣竹崎鄉竹崎村中山路59號,(05)2611030,cyhgceoo@mail.cghg.gov.tw,竹崎國中,曾任竹崎鄉農會理監事(五屆)、竹崎鄉農會理事長、竹崎鄉民代表（兩屆）、台北市果菜公司常駐監察人 竹崎村村長(兩屆),無,www.chuchi.qov.tw
099第十六屆各鄉鎮市長選舉,嘉義縣,梅山鄉,嘉義縣梅山鄉公所,劉　宏文,鄉長,男,民主進步黨,(603)嘉義縣梅山鄉梅北村中山路282號,(05)2622121,cyhgcf00@mail.cyhg.gov.tw,高職畢業,梅山文教基金會董事 梅山鄉第十五屆鄉民代表主席 嘉義縣議會第十四屆十五屆十六屆議員,,http://www.meishan.gov.tw
099第十六屆各鄉鎮市長選舉,嘉義縣,番路鄉,嘉義縣番路鄉公所,程家標,鄉長,男,,(602)嘉義縣番路鄉下坑村菜公店101號,05-2591951, ,國立勤益科技工專畢業,1.村幹事 2.嘉義市議會組員 3.番路鄉代表會組員 4.番路鄉公所秘書,,
099第十六屆各鄉鎮市長選舉,嘉義縣,大埔鄉,嘉義縣大埔鄉公所,黃　國明,鄉長,男,無政黨,(607)嘉義縣大埔鄉大埔村54號,05-2521310,cyhgch00@mail.cyhg.gov.tw,國中,後備軍人中心主任 兵役協會主任委員 大埔鄉農會理事監事　　　嘉義縣農會代表 嘉義地方法院觀護協會理監事 大埔鄉民代表,無,http://www.dapu.gov.tw
099第十六屆各鄉鎮市長選舉,嘉義縣,阿里山鄉,嘉義縣阿里山鄉公所,陳　明利,鄉長,男,中國國民黨,(605)嘉義縣阿里山鄉樂野村2鄰69號,05-2562542,alishan@mail.cyhg.gov.tw,淡江高中,農業推廣員、 村幹事、 課員、 課長,,http://www.alishan.gov.tw/
099第十六屆各鄉鎮市長選舉,屏東縣,屏東市,屏東縣屏東市公所,葉　壽山,市長,男,中國國民黨,(900)屏東縣屏東市台糖街61號,(08)7535600,leaf@ptcg.gov.tw,國防醫學院碩士,第15屆屏東縣議員 第15屆屏東市長 第16屆現任屏東市長,www.yeh shou shan.idv.tw,www.ptcg.gov.tw
099第十六屆各鄉鎮市長選舉,屏東縣,潮州鎮,屏東縣潮州鎮公所,洪　明江,鎮長,男,民主進步黨,(920)屏東縣潮州鎮光華里中山路38號,(08)7892472, ,大學,,,
099第十六屆各鄉鎮市長選舉,屏東縣,東港鎮,屏東縣東港鎮公所,王　憲昭,鎮長,男,民主進步黨,(928)屏東縣東港鎮新勝里中山路2-100號,(08)8324131-4, ,屏東高工畢業,東港鎮第13.15屆鎮長,,
099第十六屆各鄉鎮市長選舉,屏東縣,恆春鎮,屏東縣恆春鎮公所,葉　明順,鎮長,男,無政黨,(946)屏東縣恆春鎮城南里天文路1號,08-8898882,無,國中,屏東縣恆春鎮第15屆鎮民代表會主席、屏東縣議會第15屆縣議員、屏東縣恆春鎮第15屆鎮長,http://tw.myblog.yahoo.com/mingshun-wenchu/,http://www.hengchuen.gov.tw/
099第十六屆各鄉鎮市長選舉,屏東縣,萬丹鄉,屏東縣萬丹鄉公所,郭　寶聯,鄉長,男,中國國民黨,(913)屏東縣萬丹鄉萬後村和平西路155號,08-7772985,Wandan1@mail.wandan.gov.tw,中國文化大學畢,第十五屆鄉長,,http://www.pthg.gov.tw/townwto/Index.aspx
099第十六屆各鄉鎮市長選舉,屏東縣,長治鄉,屏東縣長治鄉公所,許　玉秀,鄉長,女,民主進步黨,(908)屏東縣長治鄉進興村潭頭路1號,08-7368215, ,高職畢,長治鄉第17、18屆鄉民代表,,http://www.pthg.gov.tw/TownCgt
099第十六屆各鄉鎮市長選舉,屏東縣,麟洛鄉,屏東縣麟洛鄉公所,李　新煌,鄉長,男,民主進步黨,(909)屏東縣麟洛鄉麟蹄村中山路158號,08-7222553,無,華洲工商職業學校,曾任代表會主席,無,http://www.pthg.gov.tw/townllt/index.aspx
099第十六屆各鄉鎮市長選舉,屏東縣,九如鄉,屏東縣九如鄉公所,許　重慶,鄉長,男,民主進步黨,(904)屏東縣九如鄉東寧村九如路二段416號,(08)7392210,p102@mail.jiouru.gov.tw,大仁科技大學專科畢業,屏東縣九如鄉第15屆鄉長〈自95年3月1日至99年2月28日〉屏東縣九如鄉公所秘書〈自91年3月1日至94年9月30日〉,,http://www.pthg.gov.tw/TownJrt/Index.aspx
099第十六屆各鄉鎮市長選舉,屏東縣,里港鄉,屏東縣里港鄉公所,盧　文瑞,鄉長,男,無政黨,(905)屏東縣里港鄉永春村永春村中山路104號,08-7752114,lijauder@ms72.hinet.net,私立屏榮高工,里港鄉代會11屆副主席 屏東縣議會15屆議員 里港鄉第15、16屆鄉長,無,無
099第十六屆各鄉鎮市長選舉,屏東縣,鹽埔鄉,屏東縣鹽埔鄉公所,鄭　雙銓,鄉長,男,中國國民黨,(907)屏東縣鹽埔鄉鹽南村勝利路32號,(08)7932126, ,大仁科大文化創意產業研究所,第十五屆鄉長,,
099第十六屆各鄉鎮市長選舉,屏東縣,高樹鄉,屏東縣高樹鄉公所,廖　文賢,鄉長,男,無政黨,(906)屏東縣高樹鄉高樹村興中路330號,08-7962610,k001@ems.ptts1101.gov.tw,大仁科技大學,95-99高樹鄉民代表會主席 現任鄉長,無,http://www.pthg.gov.tw/TOWNGTO
099第十六屆各鄉鎮市長選舉,屏東縣,萬巒鄉,屏東縣萬巒鄉公所,林　碧乾,鄉長,男,民主進步黨,(923)屏東縣萬巒鄉萬和村中正路36號,08-7812460,無,國立成功大學交通管理系畢業,第16屆萬巒鄉民代表,無,
099第十六屆各鄉鎮市長選舉,屏東縣,內埔鄉,屏東縣內埔鄉公所,利　八魁,鄉長,男,民主進步黨,(912)屏東縣內埔鄉內埔村廣濟路26號,08-7792001, ,學歷： 內埔中學畢業 東港水產高級職業學校畢業 凱逹格蘭學校地方發展班結業 2010南方領袖教育學院結業,經歷： 內埔鄉第15屆鄉民代表 內埔鄉第16屆鄉民代表 代表會主席 內埔鄉第17屆鄉民代表會主席 內埔鄉第18屆鄉民代表 內埔鄉第24、25屆調解委員 民進黨內埔鄉黨部第8、9屆主任委員,,
