name,page-name,page-id,likes,talking-about,percent,party,dist
周芷萱,周芷萱　斬父權獨立劍　老娘就是反骨！,ChihHsuanChouFreeTaiwanParty,1576,762,48.35025381,自由台灣黨,不分區
蕭曉玲,蕭曉玲,166352390093354,4820,249,5.165975104,自由台灣黨,不分區
郭正典,郭正典的粉絲頁,cdkuo,2315,274,11.83585313,自由台灣黨,不分區
蔡丁貴,蔡丁貴教授-台灣堅持的力量,320049491447,19658,3275,16.65988402,自由台灣黨,不分區
陶君亮,陶君亮,NewPower.TwinEngines,1874,778,41.51547492,信心希望聯盟,不分區
南岳君,南岳君的奇蹟之旅,votenan,1792,549,30.63616071,信心希望聯盟,不分區
鄭美珠,鄭美珠,meichu55,487,383,78.64476386,無黨團結聯盟,不分區
蔡錦賢,蔡錦賢,269017619899884,5361,11,0.2051855997,無黨團結聯盟,不分區
張安樂,張安樂粉絲團,619924111375538,11220,1724,15.36541889,中華統一促進黨,不分區
趙福芬,趙福芬,ZhaoFuFen,757,12,1.585204756,中華統一促進黨,不分區
潘翰聲,潘翰聲,panhan3.treesparty,4381,368,8.399908697,樹黨,不分區
